id,name,address,url,code,latitude,longitude,description,phone,specials
01574be8-f63e-46ed-accc-20928bc79094,Seaview Crab Company,6458 Carolina Beach Rd,https://www.seaviewcrabcompany.com/,SEAVIEW2025,34.10301349,-77.89997933,"Your local Fishmongers serving fresh N.C. seafood. Retail, Wholesale, Takeout Kitchen, Home Delivery, & Nationwide Shipping!",(910) 793-0404,
026159da-dab6-455e-8615-6aa90ee35724,Fish Bites,6132 Carolina Beach Rd,https://www.fishbitesseafood.com/,FISHBITES2025,34.11664002,-77.90133536,"Fresh local seafood restaurant, friendly and helpful staff, great ambiance, where the locals eat.",(910) 791-1117,
1b80e22e-0b14-4f05-8cea-5e6079a2854a,Michael's Seafood,1206 N Lake Park Blvd,https://mikescfood.com/,MICHAELS2025,34.04848208,-77.89849286,"A Carolina Beach landmark. Fresh, never fried. Home of the 3 Time World Champion Seafood Chowder.",(910) 458-7761,
1cae367c-557f-4dea-be00-d4a7669ddad0,Four Hounds Distillery,1202 N Lake Park Blvd,https://fourhoundsdistilling.com/,FOURHOUNDS2025,34.04640099,-77.89798229,We are an NC based distillery focused on using local and all natural ingredients to produce craft rum,(910) 945-0880,
1f3eaaca-f9e1-4425-a1ad-1efae4c751d6,Seaworthy,604 N Lake Park Blvd,https://seaworthycb.com/,SEAWORTHY2025,34.03890546,-77.89427506,"Delicious, fresh and creative food and drinks in a warm and inviting dining room.",(910) 636-3131,
207a0f3e-74c4-420f-aa69-622bb3741ea8,HopLite,720 N Lake Park Blvd,https://hopliterestaurant.com/,HOPLITE2025,34.04036836,-77.89497376,Pleasure Island's best homemade Irish and American Pub Fare in a welcoming atmosphere with great service with  plenty of Irish whiskey and beers on tap.,(910) 458-4745,
371577a8-5365-443f-8a31-8a3bd27efa87,Neapolitan,800 St Joseph St,https://www.neapolitan3.com/,NEAPOLITAN2025,34.04051129,-77.89354566,"Wine Bar, Tasting Room, Beer, Cider, and Seltzer Bottle Shop located in Carolina Beach, NC!",(910) 600-6765,
3f802e4b-df1d-4fd2-b587-4279b9ba218c,Havana's,1 N Lake Park Blvd,https://havanasrestaurant.com/,HAVANAS2025,34.03412566,-77.8944754,"Your island restaurant with Fresh Seafood, Garden Salads, Hand Cut Angus Steaks, and a great wine selection! We specialize in awesome food & great service in a polished casual beach setting.",(910) 458-2822,
40aa686e-de83-4813-9e79-fcdeac3300be,Shuckin' Shack,6 N Lake Park Blvd,https://www.theshuckinshack.com/location/carolina-beach/,SHUCKIN2025,34.03424702,-77.89381572,"Specializing in Fresh Steamed and Raw Seafood (Oysters, Shrimp, Clams, Crab Legs, Mussells)Also Voted Best Wings on the Island",(910) 458-7380,
4dba5146-180d-4eb1-93df-018b0c9c0378,Malama Cafe,108 Cape Fear Blvd,https://www.malamacafe.com/,MALAMA2025,34.03387486,-77.89358463,A cafe offering inspired sustainable healthy breakfast and lunch options and  featuring  Counter Culture Coffee,(910) 707-5077,
514577b1-6796-48fb-8658-3da9075f8f50,Lake Park Steakhouse,12 Lake Park Blvd S,https://lakeparksteakhouse.com/,LAKEPARK2025,34.03308037,-77.89472745,Locally owned Italian Steakhouse serving all the favorites,(910) 707-0996,
514eafe6-b13a-41f8-9dd5-2c462713822f,Pop's Diner,109 N Lake Park Blvd,https://popsdinercb.com/,POPS2025,34.03462229,-77.89372496," A 50s style diner, serving fresh and homemade food with amazing homemade desserts everyday!",(910) 458-7377,
5474d6a3-167d-43ce-b7bb-a4317eca6dc7,Kindred,205 Charlotte Ave,https://www.kindredcb.com/,KINDRED2025,34.03279354,-77.89543717,A coastal farmhouse cocktail lounge & bar - open to the public Wed evenings,(910) 218-8727,
6aa25aa0-2645-4526-a3d3-d6359eba5a27,Carolina Beach Pier,1800 Carolina Beach Ave N,https://carolinabeachpier.com/,CBPIER2025,34.05713062,-77.88159222,"A fast-casual bar & grille perched majestically right on the ocean and boasts multiple indoor and outdoor venue areas, each exuding its own unique charm!",(910) 636-3075,
6f76a796-d068-475c-836c-ebe5ac587a13,Stoked,313 Canal Dr,https://stokedrestaurant.com/,STOKED2025,34.03760815,-77.89195162,Full service Restaurant located in Carolina Beach on the harbor with boat docking access. We offer a good variety of menu items along with live music. ,(910) 458-8300,
72a71d82-e184-42b3-b063-8faf8996ef63,Nollies Taco Joint,3 Pelican Lane,https://nolliestacojoint.com/,NOLLIES2025,34.03670569,-77.89148732,Dank tacos with a socal twist and a full bar,(910) 707-0455,
